EventCode,EventDesc,LogSource,"group_policy_group","group_policy_option"
4673,"A privileged service was called.","Microsoft-Windows-Security-Auditing","Privilege Use
Privilege Use","Audit Non-Sensitive Privilege Use
Audit Sensitive Privilege Use"
4674,"An operation was attempted on a privileged object.","Microsoft-Windows-Security-Auditing","Privilege Use
Privilege Use","Audit Non-Sensitive Privilege Use
Audit Sensitive Privilege Use"
4688,"A new process has been created.","Microsoft-Windows-Security-Auditing","Detailed Tracking","Audit Process Creation"
4689,"A process has exited.","Microsoft-Windows-Security-Auditing","Detailed Tracking","Audit Process Termination"
4697,"A service was installed in the system.","Microsoft-Windows-Security-Auditing",System,"Audit Security System Extension"
4700,"A scheduled task was enabled.","Microsoft-Windows-Security-Auditing","Object Access","Audit Other Object Access Events"
4701,"A scheduled task was disabled.","Microsoft-Windows-Security-Auditing","Object Access","Audit Other Object Access Events"
4702,"A scheduled task was updated.","Microsoft-Windows-Security-Auditing","Object Access","Audit Other Object Access Events"
4703,"A token right was adjusted.","Microsoft-Windows-Security-Auditing",,
4717,"System security access was granted to an account.","Microsoft-Windows-Security-Auditing","Policy Change","Audit Authentication Policy Change"
4718,"System security access was removed from an account.","Microsoft-Windows-Security-Auditing","Policy Change","Audit Authentication Policy Change"
4719,"System audit policy was changed.","Microsoft-Windows-Security-Auditing","Policy Change","Audit Audit Policy Change"
4722,"A user account was enabled.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4723,"An attempt was made to change an account's password.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4724,"An attempt was made to reset an account's password.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4725,"A user account was disabled.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4726,"A user account was deleted.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4738,"A user account was changed.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4740,"A user account was locked out.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4742,"A computer account was changed.","Microsoft-Windows-Security-Auditing","Account Management","Audit Computer Account Management"
4743,"A computer account was deleted.","Microsoft-Windows-Security-Auditing","Account Management","Audit Computer Account Management"
4767,"A user account was unlocked.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4776,"The domain controller or local computer attempted to validate the credentials for an account.","Microsoft-Windows-Security-Auditing","Account Logon","Audit Credential Validation"
4778,"A session was reconnected to a Window Station.","Microsoft-Windows-Security-Auditing","Logon/Logoff
Account Logon","Audit Other Logon/Logoff Events
Audit Other Account Logon Events"
4781,"The name of an account was changed.","Microsoft-Windows-Security-Auditing","Account Management","Audit User Account Management"
4964,"Special groups have been assigned to a new logon.","Microsoft-Windows-Security-Auditing","Logon/Logoff","Audit Special Logon"
4,"Sysmon service state changed.",sysmon,,
5031,"The Windows Firewall Service blocked an application from accepting incoming connections on the network.","Microsoft-Windows-Security-Auditing","Object Access","Audit Filtering Platform Connection"
5136,"A directory service object was modified.","Microsoft-Windows-Security-Auditing","DS Access","Audit Directory Service Changes"
5139,"A directory service object was moved.","Microsoft-Windows-Security-Auditing","DS Access","Audit Directory Service Changes"
5140,"A network share object was accessed.","Microsoft-Windows-Security-Auditing","Object Access
Object Access","Audit File Share
Audit Filtering Platform Connection"
5145,"A network share object was checked to see whether client can be granted desired access.","Microsoft-Windows-Security-Auditing","Object Access","Audit Detailed File Share"
5154,"The Windows Filtering Platform has permitted an application or service to listen on a port for incoming connections.","Microsoft-Windows-Security-Auditing","Object Access","Audit Filtering Platform Connection"
5155,"The Windows Filtering Platform has blocked an application or service from listening on a port for incoming connections.","Microsoft-Windows-Security-Auditing","Object Access","Audit Filtering Platform Connection"
5156,"The Windows Filtering Platform has permitted a connection.","Microsoft-Windows-Security-Auditing","Object Access","Audit Filtering Platform Connection"
5157,"The Windows Filtering Platform has blocked a connection.","Microsoft-Windows-Security-Auditing","Object Access","Audit Filtering Platform Connection"
5158,"The Windows Filtering Platform has permitted a bind to a local port.","Microsoft-Windows-Security-Auditing","Object Access","Audit Filtering Platform Connection"
5159,"The Windows Filtering Platform has blocked a bind to a local port.","Microsoft-Windows-Security-Auditing","Object Access","Audit Filtering Platform Connection"
5,"Process terminated.",sysmon,,
6005,"The Event log service was started.","Eventlog / System",,
6006,"The Event log service was stopped.","Eventlog / System",,
6419,"A request was made to disable a device.","Microsoft-Windows-Security-Auditing","Detailed Tracking - Audit PNP Activity","Audit PNP Activity"
6420,"A device was disabled.","Microsoft-Windows-Security-Auditing","Detailed Tracking - Audit PNP Activity","Audit PNP Activity"
6421,"A request was made to enable a device.","Microsoft-Windows-Security-Auditing","Detailed Tracking - Audit PNP Activity","Audit PNP Activity"
6422,"A device was enabled.","Microsoft-Windows-Security-Auditing","Detailed Tracking - Audit PNP Activity","Audit PNP Activity"
6,"Driver loaded.",sysmon,,
7045,"A new service was installed in the system.","Service Control Manager / System",,
7,"Image loaded.",sysmon,,
8,"CreateRemoteThread.",sysmon,,
